"ASRock FM2A68M-DG3+ (FM2+, AMD A68H, DDR3)","605000"
"ASRock FM2A68M-HD+ (FM2+, AMD A68H, DDR3)","700000"
"Asus A68HM-K (FM2+, A68, DDR3)","660000"
"Biostar A68MDE (FM2+, A68, DDR3)","586000"
"Biostar HI-FI A68U3P (FM2+, AMD A68H, DDR3)","644000"
"Biostar Hi-Fi A70U3P (FM2+, AMD A70M, DDR3, SATA3, USB3)","672000"
"Colorful C.A68M-P Plus V16 (FM2/FM2+, A68, DDR3, VGA, HDMI)","570000"
"Colorful Battle AXE C.A88MK V14 (FM2/FM2+, A88, DDR3, VGA, DVI, HDMI)","750000"
"ECS A68F2P-M4 (FM2+, A68, DDR3)","650000"
"ECS A68F2P-M2 (FM2+, A68, DDR3)","695000"
"Gigabyte GA-F2A68HM-DS2 (AMD A68, 2xDDR3, VGA, 2PCI-E)","735000"
"MAXSUN MS-A88FE Turbo M.2 (FM2+, A85, DDR3, VGA+DVI)","580000"
"MAXSUN MS-A68GL+ M.2 (FM2+, A68, DDR3, VGA+DVI)","580000"
"MAXSUN MS-A88 Gaming PRO (FM2+, A88, DDR3, VGA+DVI+HDMI)","850000"
"MSI A68HM-E33 V2 (FM2+, AMD A68, DDR3, USB3)","689000"
